00:17.633  render           | Start rendering: Scene, ViewLayer
00:17.633  render           | Engine: EEVEE
00:17.784  render           | Fra: 19 | Rendering 1 / 64 samples
00:18.214  render           | Fra: 19 | Rendering 25 / 64 samples
00:18.639  render           | Fra: 19 | Rendering 50 / 64 samples
00:18.877  render           | Fra: 19 | Rendering 64 / 64 samples
00:19.132  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0019.png'
00:19.132  render           | Time: 00:01.49 (Saving: 00:00.20)
00:19.132  render           | Rendering frame 20
00:19.132  render           | Start rendering: Scene, ViewLayer
00:19.132  render           | Engine: EEVEE
00:19.605  render           | Fra: 20 | Rendering 1 / 64 samples
00:20.055  render           | Fra: 20 | Rendering 25 / 64 samples
00:20.470  render           | Fra: 20 | Rendering 50 / 64 samples
00:20.711  render           | Fra: 20 | Rendering 64 / 64 samples
00:20.973  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0020.png'
00:20.974  render           | Time: 00:01.84 (Saving: 00:00.18)
00:20.974  render           | Rendering frame 21
00:20.983  render           | Start rendering: Scene, ViewLayer
00:20.983  render           | Engine: EEVEE
00:21.303  render           | Fra: 21 | Rendering 1 / 64 samples
00:21.721  render           | Fra: 21 | Rendering 25 / 64 samples
00:22.139  render           | Fra: 21 | Rendering 50 / 64 samples
00:22.372  render           | Fra: 21 | Rendering 64 / 64 samples
00:22.657  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0021.png'
00:22.659  render           | Time: 00:01.67 (Saving: 00:00.19)
00:22.660  render           | Rendering frame 22
00:22.699  render           | Start rendering: Scene, ViewLayer
00:22.699  render           | Engine: EEVEE
00:23.570  render           | Fra: 22 | Rendering 1 / 64 samples
00:23.839  render           | Fra: 22 | Rendering 25 / 64 samples
00:24.167  render           | Fra: 22 | Rendering 50 / 64 samples
00:24.388  render           | Fra: 22 | Rendering 64 / 64 samples
00:24.674  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0022.png'
00:24.676  render           | Time: 00:01.97 (Saving: 00:00.19)
00:24.677  render           | Rendering frame 23
00:24.702  render           | Start rendering: Scene, ViewLayer
00:24.702  render           | Engine: EEVEE
00:25.010  render           | Fra: 23 | Rendering 1 / 64 samples
00:25.424  render           | Fra: 23 | Rendering 25 / 64 samples
00:25.860  render           | Fra: 23 | Rendering 50 / 64 samples
00:26.114  render           | Fra: 23 | Rendering 64 / 64 samples
00:26.350  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0023.png'
00:26.350  render           | Time: 00:01.64 (Saving: 00:00.17)
00:26.350  render           | Rendering frame 24
00:26.351  render           | Start rendering: Scene, ViewLayer
00:26.351  render           | Engine: EEVEE
00:26.633  render           | Fra: 24 | Rendering 1 / 64 samples
00:27.081  render           | Fra: 24 | Rendering 25 / 64 samples
00:27.518  render           | Fra: 24 | Rendering 50 / 64 samples
00:27.762  render           | Fra: 24 | Rendering 64 / 64 samples
00:28.029  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0024.png'
00:28.035  render           | Time: 00:01.67 (Saving: 00:00.18)
00:28.038  render           | Rendering frame 25
00:28.057  render           | Start rendering: Scene, ViewLayer
00:28.057  render           | Engine: EEVEE
00:28.435  render           | Fra: 25 | Rendering 1 / 64 samples
00:28.866  render           | Fra: 25 | Rendering 25 / 64 samples
00:29.297  render           | Fra: 25 | Rendering 50 / 64 samples
00:29.539  render           | Fra: 25 | Rendering 64 / 64 samples
00:29.865  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0025.png'
00:29.869  render           | Time: 00:01.80 (Saving: 00:00.24)
00:29.871  render           | Rendering frame 26
00:29.889  render           | Start rendering: Scene, ViewLayer
00:29.889  render           | Engine: EEVEE
00:30.769  render           | Fra: 26 | Rendering 1 / 64 samples
00:31.212  render           | Fra: 26 | Rendering 25 / 64 samples
00:31.632  render           | Fra: 26 | Rendering 50 / 64 samples
00:31.867  render           | Fra: 26 | Rendering 64 / 64 samples
00:32.091  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0026.png'
00:32.092  render           | Time: 00:02.20 (Saving: 00:00.15)
00:32.093  render           | Rendering frame 27
00:32.105  render           | Start rendering: Scene, ViewLayer
00:32.105  render           | Engine: EEVEE
